A,B,C,Step,InitCondNum
0,0,0,7,81
0,0,0,8,81
0,0,0,9,81
0,0,0,10,81
0,0,0,11,81
0,0,1,1,82
0,0,1,2,82
0,0,1,3,82
0,0,1,4,82
0,0,1,5,82
0,0,1,6,82
0,0,1,7,82
0,0,1,8,82
0,0,1,9,82
0,0,1,10,82
0,0,1,11,82
0,1,1,1,83
0,1,1,2,83
0,1,1,3,83
0,1,1,4,83
0,1,1,5,83
0,1,1,6,83
0,1,1,7,83
0,1,1,8,83
0,1,1,9,83
0,1,1,10,83
0,1,1,11,83
1,0,0,1,84
1,0,0,2,84
1,0,0,3,84
1,0,0,4,84
1,0,0,5,84
1,0,0,6,84
1,0,0,7,84
1,0,0,8,84
1,0,0,9,84
1,0,0,10,84
1,0,0,11,84
0,0,0,1,85
0,0,0,2,85
0,0,0,3,85
0,0,0,4,85
0,0,0,5,85
0,0,0,6,85
0,0,0,7,85
0,0,0,8,85
0,0,0,9,85
0,0,0,10,85
0,0,0,11,85
0,0,0,1,86
0,0,0,2,86
0,0,0,3,86
0,0,0,4,86
0,0,0,5,86
0,0,0,6,86
0,0,0,7,86
0,0,0,8,86
0,0,0,9,86
0,0,0,10,86
0,0,0,11,86
1,1,0,1,87
0,1,0,2,87
0,1,0,3,87
0,1,0,4,87
0,1,0,5,87
0,1,0,6,87
0,1,0,7,87
0,1,0,8,87
0,1,0,9,87
0,1,0,10,87
0,1,0,11,87
1,0,1,1,88
1,0,1,2,88
1,0,1,3,88
1,0,1,4,88
1,0,1,5,88
1,0,1,6,88
1,0,1,7,88
1,0,1,8,88
1,0,1,9,88
1,0,1,10,88
1,0,1,11,88
1,0,1,1,89
1,0,0,2,89
1,0,0,3,89
1,0,0,4,89
1,0,0,5,89
1,0,0,6,89
1,0,0,7,89
1,0,0,8,89
1,0,0,9,89
1,0,0,10,89
1,0,0,11,89
0,0,0,1,90
0,0,0,2,90
0,0,0,3,90
0,0,0,4,90
0,0,0,5,90
0,0,0,6,90
0,0,0,7,90
0,0,0,8,90
0,0,0,9,90
0,0,0,10,90
0,0,0,11,90
1,0,0,1,91
1,0,0,2,91
1,0,0,3,91
1,0,0,4,91
1,0,0,5,91
1,0,0,6,91
1,0,0,7,91
1,0,0,8,91
1,0,0,9,91
1,0,0,10,91
1,0,0,11,91
0,1,1,1,92
0,0,1,2,92
0,0,1,3,92
0,0,1,4,92
0,0,1,5,92
0,0,1,6,92
0,0,1,7,92
0,0,1,8,92
0,0,1,9,92
0,0,1,10,92
0,0,1,11,92
0,0,0,1,93
0,0,0,2,93
0,0,0,3,93
0,0,0,4,93
0,0,0,5,93
0,0,0,6,93
0,0,0,7,93
0,0,0,8,93
0,0,0,9,93
0,0,0,10,93
0,0,0,11,93
1,0,0,1,94
1,0,0,2,94
1,0,0,3,94
1,0,0,4,94
1,0,0,5,94
1,0,0,6,94
1,0,0,7,94
1,0,0,8,94
1,0,0,9,94
1,0,0,10,94
1,0,0,11,94
1,1,1,1,95
1,0,1,2,95
1,0,1,3,95
1,0,1,4,95
1,0,1,5,95
1,0,1,6,95
1,0,1,7,95
1,0,1,8,95
1,0,1,9,95
1,0,1,10,95
1,0,1,11,95
0,1,1,1,96
0,1,0,2,96
0,1,0,3,96
0,1,0,4,96
0,1,0,5,96
0,1,0,6,96
0,1,0,7,96
0,1,0,8,96
0,1,0,9,96
0,1,0,10,96
0,1,0,11,96
1,0,1,1,97
1,0,0,2,97
1,0,0,3,97
1,0,0,4,97
1,0,0,5,97
1,0,0,6,97
1,0,0,7,97
1,0,0,8,97
1,0,0,9,97
1,0,0,10,97
1,0,0,11,97
0,1,1,1,98
0,1,0,2,98
0,1,0,3,98
0,1,0,4,98
0,1,0,5,98
0,1,0,6,98
0,1,0,7,98
0,1,0,8,98
0,1,0,9,98
0,1,0,10,98
0,1,0,11,98
0,1,1,1,99
0,1,1,2,99
0,1,1,3,99
0,1,1,4,99
0,1,1,5,99
0,1,1,6,99
0,1,1,7,99
0,1,1,8,99
0,1,1,9,99
0,1,1,10,99
0,1,1,11,99
0,0,1,1,100
0,0,1,2,100
0,0,1,3,100
0,0,1,4,100
0,0,1,5,100
0,0,1,6,100
0,0,1,7,100
0,0,1,8,100
0,0,1,9,100
0,0,1,10,100
0,0,1,11,100
